#T101;16/15;2022-10-24;09:00;11:00;A-109
#T102;16/15;2022-10-24;09:00;11:00;A-110
T103;16/15;2022-10-24;11:00;13:00;A-109
T104;16/15;2022-10-24;11:00;13:00;A-110
T105;16/15;2022-10-24;13:00;15:00;A-109
T106;16/15;2022-10-24;13:00;15:00;A-110
T107;16/15;2022-10-24;15:00;17:00;A-109
T108;16/15;2022-10-24;15:00;17:00;A-110
T109;16/15;2022-10-24;17:00;19:00;A-109
T110;16/15;2022-10-24;17:00;19:00;A-110
#T111;16/15;2022-10-24;19:00;21:00;A-109
#T112;16/15;2022-10-24;19:00;21:00;A-110

T201;16/15;2022-10-25;09:00;11:00;A-109
T202;16/15;2022-10-25;09:00;11:00;A-110
T203;16/15;2022-10-25;11:00;13:00;A-109
T204;16/15;2022-10-25;11:00;13:00;A-110
T205;16/15;2022-10-25;13:00;15:00;A-109
T206;16/15;2022-10-25;13:00;15:00;A-110
T207;16/15;2022-10-25;15:00;17:00;A-109
T208;16/15;2022-10-25;15:00;17:00;A-110
T209;16/15;2022-10-25;17:00;19:00;A-109
T210;16/15;2022-10-25;17:00;19:00;A-110
T211;16/15;2022-10-25;19:00;21:00;A-109
#T212;16/15;2022-10-25;19:00;21:00;A-110

#T301;16/15;2022-10-26;08:00;10:00;A-109
#T302;16/15;2022-10-26;08:00;10:00;A-110
#T303;16/15;2022-10-26;10:00;12:00;A-109
#T304;16/15;2022-10-26;10:00;12:00;A-110
T305;16/15;2022-10-26;12:00;14:00;A-109
T306;16/15;2022-10-26;12:00;14:00;A-110
T307;16/15;2022-10-26;14:00;16:00;A-109
T308;16/15;2022-10-26;14:00;16:00;A-110
T309;16/15;2022-10-26;16:00;18:00;A-109
T310;16/15;2022-10-26;16:00;18:00;A-110
T311;16/15;2022-10-26;18:00;20:00;A-109
T312;16/15;2022-10-26;18:00;20:00;A-110

#T401;16/15;2022-10-27;09:00;11:00;A-109
#T402;16/15;2022-10-27;09:00;11:00;A-110
T403;16/15;2022-10-27;11:00;13:00;A-109
T404;16/15;2022-10-27;11:00;13:00;A-110
T405;16/15;2022-10-27;13:00;15:00;A-109
T406;16/15;2022-10-27;13:00;15:00;A-110
T407;16/15;2022-10-27;15:00;17:00;A-109
T408;16/15;2022-10-27;15:00;17:00;A-110
T409;16/15;2022-10-27;17:00;19:00;A-109
T410;16/15;2022-10-27;17:00;19:00;A-110
#T411;16/15;2022-10-27;19:00;21:00;A-109
#T412;16/15;2022-10-27;19:00;21:00;A-110

#T501;16/15;2022-10-28;09:00;11:00;A-109
#T502;16/15;2022-10-28;09:00;11:00;A-110
T503;16/15;2022-10-28;11:00;13:00;A-109
T504;16/15;2022-10-28;11:00;13:00;A-110
T505;16/15;2022-10-28;13:00;15:00;A-109
T506;16/15;2022-10-28;13:00;15:00;A-110
T507;16/15;2022-10-28;15:00;17:00;A-109
T508;16/15;2022-10-28;15:00;17:00;A-110
T509;16/15;2022-10-28;17:00;19:00;A-109
T510;16/15;2022-10-28;17:00;19:00;A-110
#T511;16/15;2022-10-28;19:00;21:00;A-109
#T512;16/15;2022-10-28;19:00;21:00;A-110

